1-Where?,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Years experience?,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Org type?,Freelance / Self-employed (free agent),Collective (collaborative group of independents),Partnership (shared ownership),"Studio (employee at small organization, 3–10)","Agency (employee at large organization, 11+)",In-house (employee at a brand),Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Industry?,Advertising / marketing,Architecture,Brand Strategy,Content Strategy,"Design, digital","Design, print","Design, digital and print",Technology,PR,Product Management,Publishing,Non-profit,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-# employees?,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Title?,Art Director,"Creative Director, agency","Creative Director, in-house","Design Director, agency","Design Director, in-house","Developer, mobile app","Developer, front end","Developer, back end",Chief Design Officer,Design Manager,"Designer, digital","Designer, print","Designer, digital and print",Engineer,Executive Creative Director,Executive Producer,"Freelancer, independent","Freelancer, staffing agency",Director of Production,Information Architect,"Junior Designer, digital","Junior Designer, print","Junior Designer, digital and print",Marketing Director,Motion Designer/Animator,Motion/Video Editor,New Business Manager,Operations Director,"Owner, Partner, or Principal","Producer, digital","Producer, print","Producer, digital and print",Production Manager,"Project Manager, print","Project Manager, digital","Project Manager, digital and print",Researcher,Self-employed (no employees),"Senior Designer, digital","Senior Designer, print","Senior Designer, digital and print",Social Media Manager,"Strategist, design","Strategist, content",Strategy Director,Type Designer,Usability Analyst,User Experience Designer,Writer / Copywriter,Other
7-Seniority level?,Junior,Mid-level,Senior,Leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Design categories?,Book design,Publication design,Type/font design,Graphic design,Illustration,Photography,Multimedia,Digital,Development,Motion design,User experience,Information architecture,"Apps, desktop","Apps, mobile","Apps, tablet","Apps, web",User interface,Service design,Environmental graphics,Industrial design,Corporate identity,Annual reports and corporate collateral,Communications strategy,Packaging,Advertising/marketing,Direct mail,Presentations,Copywriting/technical writing,Exhibitions/events,Broadcast/video,Pro bono,Other,Not currently working in design,,,,,,,,,,,,,,,,,
9-Time at co?,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1-Happiness?,:),:|,:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-How hired?,Self-employed,Friends,Past coworker,Job listing,Recruitor,Word-of-mouth,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Portfolio type?,Print,PDF,Website,WIP,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Job stability?,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Visible career path?,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-New skills?,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Impact?,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
