"1-location","2-years-professional","3-organization-type","4-organization-industry","5-organization-size","6-organization-position","7-seniority","8-design-categories","9-years-at-organization-composite","9.1-years-at-organization","9.2-years-at-organization-feedback","10-how-hired","11-have-portfolio","12-job-stability-concern","13-have-career-path","14-does-your-organization-provide-opportunities-devel","15-organization-work-impact","16-organization-value","17-job-searching","18-salary-composite","18.1-salary-annual","18.2-salary-hourly","19-total-compensation","20-extra-sources-income","21-benefits","22-compensation-satisfaction","23-team-member-count","24-num-report-you","25-hire-freelancers","26-skills-to-develop","27-daily-responsibilities","28-percent-enjoyable","29-life-work-balance","30-weekly-hours-composite","30.1-weekly-hours","30.2-weekly-hours-feedback","31-level-independence","32-rushed-often","33-software-usage","34-workspace-type","35-music-choice","36-highest-level-education","37-how-received-education","38-learning-preference","39-commute-composite","39.1-commute-time","39.2-commute-feedback","40-age","41-gender","42-ethnicity","43-languages-spoken","44-languages-at-work","45-sexual-orientation","46-have-children","47-have-pets","48-num-coffee-daily","49-design-communities","50-design-conferences","51-social-media","52-best-thing-you-year","53-best-thing-else-year","54-design-joke","55-future-three-words"
"","46","Agency (employee at large organization, 11+)","Product Management","187","Junior Designer, digital and print","","1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0","","44","2","Word-of-mouth","0;1;0;0;0;0","5","7","5","61","3","0","","277","541","","0;1;0;0;0;1","0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0","53","706","0","0","1;0;1;0;0;0","0;1;1;1;1;1;1;0;0;0;1;","30","4","","80+","1","7","Never","0;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0","Studio","","Master’s degree","Self-taught","Community sharing (TED, Twitter, Instagram, etc)","","0","2","68","Female","0;0;0;0;0;0;0;1;0","","","Homosexual","1","0;0;0;1;0;Hello world;1","Tea","1;0;0;1;0;1;1;1;1;0;1;0;0;0;1","0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;1;1;1;0;1;0;0","geasgaes;;","geas;;","",""
"","13","In-house (at NGO, non-profit, or government)","Content Strategy","1000+","Design Director, agency","","0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0","","2","1","Friends","0;0;0;0;0;1","5","3","5","19","6","0","","191","398","","0;0;1;1;;1","0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0","50","56","1","0","1;1;1;0;1;0","1;1;1;1;1;0;1;0;0;1;1;0","75","6","","40","1","2","Sometimes","0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0","Office","","Bachelor’s degree","Other;work","On the job","","1","1","35","Female","0;0;0;0;0;0;0;0;","","","Other;None","1","0;0;1;0;1;0;0","1 – 2","1;0;0;0;1;1;0;0;0;0;0;0;1;0;0","0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;1;0;1;0;1;0;0",";;","fsfd;;","",""
"New York;NY;US","52","Freelance / Self-employed (free agent)","Design, digital and print","2","Creative Director, agency","","0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0","","6","2","Self-employed","0;0;1;0;0;0","5","2","5","50","10","0","","100","0","","0;0;0;0;0;1","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1","100","1","1","1","1;1;1;0;0;0","1;1;1;1;1;1;1;1;1;1;0;0","50","6","","60","0","5","Often","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Studio","","Some college (no degree)","Attended university","Self-taught","","15","2","0","Male","0;0;1;0;0;0;0;0;0","","","Heterosexual","0","1;0;0;0;0;0;0","1 – 2","1;1;0;0;0;0;0;1;1;1;0;0;0;0;1","0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;1;0;0;0;0;0;0","n/a;;","n/a;;","",""
";;US","0","Freelance / Self-employed (free agent)","Architecture","194","Design Manager","","0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0","","0","0","Job listing","0;0;0;1;0;0","1","1","2","1","1","0","","17","28","","0;0;0;1;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1","80","89","0","0;0;1;0;0;0","0;0;1;0;0;0;0;0;0;0;0;0","17","2","","13","0","2","Rarely","0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Home","Test","Associate’s degree","Mentored","Community sharing (TED, Twitter, Instagram, etc)","","0","1","0","Female","0;0;0;0;1;0;0;0;0","1","0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Other;","0","0;0;0;1;0;0;0","5 – 10","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;1;0;0;0;0;0;0","Re;;","","",""
"New York;NY;US","30","In-house (at NGO, non-profit, or government)","Design, digital","24","Designer, digital","Leadership","0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;web design;0","","1","0","Past coworker","0;0;1;0;0;0","0","10","5","10","5","0","","103","75","","0;0;0;0;selling crack;1","1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0","10","0","1","1","0;1;0;0;1;0","1;1;1;1;1;1;0;1;1;0;0;0","25","10","","28","0","10","Sometimes","0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;xcel","Office","Cymbals Eat Guitars, Yarn, Bombino, Peter Wolf","Master’s degree","Attended university","Self-taught","","70","1","57","Male","0;0;1;0;0;0;0;0;0","2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","1","0;0;0;0;0;0;1","3 – 5","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0","1;0;1;0;1;1;0;0;0","Not sure;;","Sturgil Simpson's record;;","","not;really;sure"
"","0","Studio (employee at small organization, 3–10)","Advertising / marketing","0","Creative Director, agency","Senior","0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","","0","0","Self-employed","0;0;1;0;0;0","4","3","4","4","2","0","","0","0","0","0;0;0;0;0;1","","0","0","0","","","","0","0","","0","","0","","","","","","","","","0","","0","","0;0;1;0;0;0;0;0;0","0","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","1","0;1;0;0;0;0;0","3 – 5","0;0;0;0;0;0;0;0;0;1;0;0;0;0;0","0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1","0;0;0;0;0;0;0;0;1","","","",""
"New York;NY;US","20","Collective (collaborative group of independents)","Design, digital","26","Strategy Director","Leadership","0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0","","1","1","Other;I reached out","0;0;1;0;0;0","3","5","3","8","5","0","","103","0","","0;1;0;0;0;0","1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0","8","3","2","1","0;1;1;0;0;0","1;1;1;0;1;1;0;0;1;0;0;0","10","4","","55","2","0","Always","1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0","Office","anything Bach","Master’s degree","Self-taught","Workshops","","45","1","47","Female","0;0;1;0;0;0;0;0;0","2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","1","1;0;0;0;1;0;0","1 – 2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;0;0;0;0;0;0;0","got a job;;","urban interventions;http://www.mas.la/;","Did you know pro bono means ""for good"" not for free?","much needed;need to feel powerful;need to be part of larger conversations more overtly"
"New York;NY;US","12","In-house (at NGO, non-profit, or government)","Design, digital and print","18","Art Director","Senior","1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","","3","0","Friends","0;1;0;0;0;0","7","4","5","8","9","0","","237","89","","1;0;0;0;0;0","0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","5","0","2","1","1;1;1;1;1;Why this selection of skill sets?","1;1;1;1;1;1;1;1;1;1;1;","15","5","","42","1","4","Always","0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;premiere","Other;open office","podcast","Master’s degree","Self-taught","On the job","","45","2","35","Male","0;0;1;0;0;0;0;0;0","2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Heterosexual","0","1;0;0;0;0;0;0","1 – 2","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","1;0;1;0;0;0;0;0;0","PFFDFFDJFDISJA SDIJSF DIFJSD FISDJF OIJ SIFJD IDFJD IFIDFJ I JDIFJD FIDJF DIFJD FIDJ DIFJ DFIJ ;WWW.FFIJDFFF.ORG/ROFDF/ A.H;M;/assets/file_uploads/file_upload_file/file/2016/11/16/Screen_Shot_2016-11-07_at_9.46.30_AM.png","HOAIDFJ DIFJD FODIJ OI;WWW.FJFDIFJD.ORGH//DFD;","NO.","OUIJA BOARD ARE REAL;THERE PREDICTIONS ARE FAKE;THEY BRING PEOPLE TOGETHER"
"Palo Alto;CA;US","99","Unemployed","Other;Testing cool census tests","1000+","Other","Leadership","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;A;1","","50+","1","Word-of-mouth","0;0;0;0;0;1","10","0","8","10","10","0","","500+","500+","","1;1;1;1;Being awesome;1","1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","10","1000","997","0","1;1;1;1;1;0","0;0;0;0;0;1;1;0;0;1;1;0","100","10","","80+","0","10","Never","0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0","Coffee shop","My co-workers despairing about the election.","Doctorate","Mentored","Self-taught","","120+","2","100+","Prefer not to answer","0;0;0;0;0;1;0;0;0","10+","0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Prefer not to answer","0","0;0;0;0;1;0;0","1 – 2","0;0;0;0;0;0;0;0;0;0;0;0;0;;0","0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0","0;0;0;0;0;1;0;0;0","An essay;;","A webpage;;","",""
"New York;NY;US","2","In-house (at NGO, non-profit, or government)","Non-profit","19","Other","Mid-level","0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;Professional development;0","","1","0","Job listing","0;0;1;0;0;0","5","6","2","8","8","0","","60","0","","0;0;0;0;0;1","1;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0","3","2","0","0","0;1;1;1;0;0","0;1;1;1;1;1;0;1;1;1;0;0","4","1","","60","0","1","Often","1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0","Office","A playlist by boyfriend made","Master’s degree","Attended university","Workshops","","40","1","31","Female","0;0;1;0;0;0;0;0;0","3","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Afrikaans","Heterosexual","0","0;0;0;0;1;0;0","Tea","1;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","0;0;0;0;0;0;0;0;1","","","","young;mobile;empathic"
